example_id,image_path,human_label,target_label,allowed_clip_labels,original_prediction_label,original_confidence,original_is_target,original_correct,high_confidence_failure,target_prob_orig,target_rank_orig,distractor_label,distractor_present,distractor_prob_orig,distractor_rank_orig,best_operator,post_prediction_label,post_is_target,target_prob_post,target_rank_post,distractor_prob_post,pairwise_margin_orig,pairwise_margin_post,margin_improved,oracle_improves_target_prob,oracle_improves_target_rank,oracle_decreases_distractor,oracle_recovers_top1,oracle_recovers_top3,oracle_recovers_top5,oracle_top5_or_pairwise,strong_pairwise_improvement,text_object_iou,n_text_boxes,n_object_boxes,n_dominant_objects,target_area_frac,max_text_area_frac,passes_ambiguity,is_directional_failure,is_strict_oracle_repairable,in_clean_subset
10,,horse,horse,airplane|apple|backpack|banana|bear|bicycle|bird|boat|bottle|broccoli|bus|cake|car|carrot|cat|cell phone|clock|cow|cup|dog|donut|elephant|giraffe|horse|hot dog|laptop|motorcycle|orange|pizza|sandwich|sheep|suitcase|teddy bear|train|truck|umbrella|vase|zebra,horse,0.7910194396972656,True,True,False,0.7910194396972656,1,truck,False,0.184156134724617,2,gaussian_blur,horse,True,0.8505160212516785,1,0.12782151997089386,0.6068633049726486,0.7226945012807846,True,True,False,True,True,True,True,True,False,0.0,1,1,1,0.2612404336734694,0.007892219387755101,True,False,False,True
11,,motorcycle,motorcycle,airplane|apple|backpack|banana|bear|bicycle|bird|boat|bottle|broccoli|bus|cake|car|carrot|cat|cell phone|clock|cow|cup|dog|donut|elephant|giraffe|horse|hot dog|laptop|motorcycle|orange|pizza|sandwich|sheep|suitcase|teddy bear|train|truck|umbrella|vase|zebra,motorcycle,0.9846227765083313,True,True,False,0.9846227765083313,1,bicycle,False,0.010892389342188835,2,expanded_gray_fill_1.25,motorcycle,True,0.9777711033821106,1,0.01562698744237423,0.9737303871661425,0.9621441159397364,False,False,False,False,True,True,True,True,False,0.0,2,1,1,0.12420280612244898,0.010881696428571428,True,False,False,True
12,,laptop,laptop,airplane|apple|backpack|banana|bear|bicycle|bird|boat|bottle|broccoli|bus|cake|car|carrot|cat|cell phone|clock|cow|cup|dog|donut|elephant|giraffe|horse|hot dog|laptop|motorcycle|orange|pizza|sandwich|sheep|suitcase|teddy bear|train|truck|umbrella|vase|zebra,cup,0.4311637580394745,False,False,False,0.17525270581245422,3,cup,False,0.4311637580394745,1,gaussian_blur,cup,False,0.18110421299934387,3,0.37982890009880066,-0.25591105222702026,-0.1987246870994568,True,False,False,True,False,True,True,True,False,0.0,1,1,1,0.18108258928571427,0.0028698979591836736,True,False,False,False
13,,cake,cake,airplane|apple|backpack|banana|bear|bicycle|bird|boat|bottle|broccoli|bus|cake|car|carrot|cat|cell phone|clock|cow|cup|dog|donut|elephant|giraffe|horse|hot dog|laptop|motorcycle|orange|pizza|sandwich|sheep|suitcase|teddy bear|train|truck|umbrella|vase|zebra,cake,0.9999034404754639,True,True,False,0.9999034404754639,1,hot dog,False,3.929773811250925e-05,2,gaussian_blur,cake,True,0.9999028444290161,1,4.18014133174438e-05,0.9998641427373514,0.9998610430156987,False,False,False,False,True,True,True,True,False,0.0,1,1,1,0.15499441964285715,0.004384566326530612,True,False,False,True
14,,umbrella,umbrella,airplane|apple|backpack|banana|bear|bicycle|bird|boat|bottle|broccoli|bus|cake|car|carrot|cat|cell phone|clock|cow|cup|dog|donut|elephant|giraffe|horse|hot dog|laptop|motorcycle|orange|pizza|sandwich|sheep|suitcase|teddy bear|train|truck|umbrella|vase|zebra,umbrella,0.9834091663360596,True,True,False,0.9834091663360596,1,pizza,False,0.009592708200216293,2,expanded_gray_fill_1.25,umbrella,True,0.9566406607627869,1,0.005530136171728373,0.9738164581358433,0.9511105245910585,False,False,False,False,True,True,True,True,False,0.0,3,1,0,0.05229591836734694,0.00430484693877551,True,False,False,False
15,,bicycle,bicycle,airplane|apple|backpack|banana|bear|bicycle|bird|boat|bottle|broccoli|bus|cake|car|carrot|cat|cell phone|clock|cow|cup|dog|donut|elephant|giraffe|horse|hot dog|laptop|motorcycle|orange|pizza|sandwich|sheep|suitcase|teddy bear|train|truck|umbrella|vase|zebra,bicycle,0.9996341466903687,True,True,False,0.9996341466903687,1,motorcycle,False,0.00032141307019628584,2,gray_fill,bicycle,True,0.9996304512023926,1,0.00031610974110662937,0.9993127336201724,0.999314341461286,True,False,False,False,True,True,True,True,False,0.0,2,1,1,0.1865832270408163,0.002590880102040816,True,False,False,False
16,,suitcase,suitcase,airplane|apple|backpack|banana|bear|bicycle|bird|boat|bottle|broccoli|bus|cake|car|carrot|cat|cell phone|clock|cow|cup|dog|donut|elephant|giraffe|horse|hot dog|laptop|motorcycle|orange|pizza|sandwich|sheep|suitcase|teddy bear|train|truck|umbrella|vase|zebra,suitcase,0.9997525811195374,True,True,False,0.9997525811195374,1,backpack,False,0.00021746574202552438,2,expanded_gray_fill_1.25,suitcase,True,0.9996477365493774,1,0.00022144294052850455,0.9995351153775118,0.9994262936088489,False,False,False,False,True,True,True,True,False,0.0,5,1,1,0.31473214285714285,0.009207589285714286,True,False,False,True
17,,car,car,airplane|apple|backpack|banana|bear|bicycle|bird|boat|bottle|broccoli|bus|cake|car|carrot|cat|cell phone|clock|cow|cup|dog|donut|elephant|giraffe|horse|hot dog|laptop|motorcycle|orange|pizza|sandwich|sheep|suitcase|teddy bear|train|truck|umbrella|vase|zebra,bicycle,0.9390389919281006,False,False,True,0.000621931569185108,7,bicycle,False,0.9390389919281006,1,expanded_blur_1.25,bicycle,False,0.0006536742439493537,7,0.936174213886261,-0.9384170603589155,-0.9355205396423116,True,False,False,False,False,False,False,False,False,0.007610993657505285,1,3,2,0.2574936224489796,0.00350765306122449,True,False,False,False
18,,motorcycle,motorcycle,airplane|apple|backpack|banana|bear|bicycle|bird|boat|bottle|broccoli|bus|cake|car|carrot|cat|cell phone|clock|cow|cup|dog|donut|elephant|giraffe|horse|hot dog|laptop|motorcycle|orange|pizza|sandwich|sheep|suitcase|teddy bear|train|truck|umbrella|vase|zebra,motorcycle,0.9854391813278198,True,True,False,0.9854391813278198,1,vase,False,0.008990212343633175,2,gray_fill,motorcycle,True,0.988754391670227,1,0.007723866496235132,0.9764489689841866,0.9810305251739919,True,False,False,False,True,True,True,True,False,0.0,1,1,1,0.31285873724489793,0.030133928571428572,True,False,False,True
19,,car,car,airplane|apple|backpack|banana|bear|bicycle|bird|boat|bottle|broccoli|bus|cake|car|carrot|cat|cell phone|clock|cow|cup|dog|donut|elephant|giraffe|horse|hot dog|laptop|motorcycle|orange|pizza|sandwich|sheep|suitcase|teddy bear|train|truck|umbrella|vase|zebra,car,0.8558472394943237,True,True,False,0.8558472394943237,1,bicycle,False,0.038316380232572556,2,expanded_blur_1.25,car,True,0.7325863838195801,1,0.011838039383292198,0.8175308592617512,0.7207483444362879,False,False,False,True,True,True,True,True,False,0.0,1,1,0,0.08900669642857142,0.017139668367346938,True,False,False,False
20,,truck,truck,airplane|apple|backpack|banana|bear|bicycle|bird|boat|bottle|broccoli|bus|cake|car|carrot|cat|cell phone|clock|cow|cup|dog|donut|elephant|giraffe|horse|hot dog|laptop|motorcycle|orange|pizza|sandwich|sheep|suitcase|teddy bear|train|truck|umbrella|vase|zebra,truck,0.9629102349281311,True,True,False,0.9629102349281311,1,car,False,0.03654995188117027,2,gaussian_blur,truck,True,0.964535653591156,1,0.03494854271411896,0.9263602830469608,0.929587110877037,True,False,False,False,True,True,True,True,False,0.0,1,1,1,0.5530532525510204,0.0028698979591836736,True,False,False,False
21,,pizza,pizza,airplane|apple|backpack|banana|bear|bicycle|bird|boat|bottle|broccoli|bus|cake|car|carrot|cat|cell phone|clock|cow|cup|dog|donut|elephant|giraffe|horse|hot dog|laptop|motorcycle|orange|pizza|sandwich|sheep|suitcase|teddy bear|train|truck|umbrella|vase|zebra,pizza,0.9997418522834778,True,True,False,0.9997418522834778,1,cake,False,8.981973223853856e-05,2,expanded_blur_1.25,pizza,True,0.9997497200965881,1,8.981941209640354e-05,0.9996520325512392,0.9996599006844917,True,False,False,False,True,True,True,True,False,0.0,1,1,1,0.10706313775510204,0.007174744897959184,True,False,False,True
22,,pizza,pizza,airplane|apple|backpack|banana|bear|bicycle|bird|boat|bottle|broccoli|bus|cake|car|carrot|cat|cell phone|clock|cow|cup|dog|donut|elephant|giraffe|horse|hot dog|laptop|motorcycle|orange|pizza|sandwich|sheep|suitcase|teddy bear|train|truck|umbrella|vase|zebra,pizza,0.999956488609314,True,True,False,0.999956488609314,1,donut,False,1.2678535313170869e-05,2,expanded_blur_1.25,pizza,True,0.9999701976776123,1,4.856138730247039e-06,0.9999438100740008,0.9999653415388821,True,False,False,False,True,True,True,True,False,0.023039262743592206,1,1,1,0.3971619897959184,0.027622767857142856,True,False,False,True
23,,bus,bus,airplane|apple|backpack|banana|bear|bicycle|bird|boat|bottle|broccoli|bus|cake|car|carrot|cat|cell phone|clock|cow|cup|dog|donut|elephant|giraffe|horse|hot dog|laptop|motorcycle|orange|pizza|sandwich|sheep|suitcase|teddy bear|train|truck|umbrella|vase|zebra,bus,0.9995222091674805,True,True,False,0.9995222091674805,1,truck,False,0.000356633507180959,2,expanded_gray_fill_1.25,bus,True,0.9996579885482788,1,0.0002641208120621741,0.9991655756602995,0.9993938677362166,True,False,False,False,True,True,True,True,False,0.0007753101240496198,1,1,1,0.7931680484693877,0.004324776785714286,True,False,False,True
24,,train,train,airplane|apple|backpack|banana|bear|bicycle|bird|boat|bottle|broccoli|bus|cake|car|carrot|cat|cell phone|clock|cow|cup|dog|donut|elephant|giraffe|horse|hot dog|laptop|motorcycle|orange|pizza|sandwich|sheep|suitcase|teddy bear|train|truck|umbrella|vase|zebra,train,0.9999268054962158,True,True,False,0.9999268054962158,1,car,False,4.432647619978525e-05,2,expanded_gray_fill_1.25,train,True,0.9999321699142456,1,4.078827259945683e-05,0.999882479020016,0.9998913816416461,True,False,False,False,True,True,True,True,False,0.0,1,1,1,0.37392378826530615,0.002152423469387755,True,False,False,False
25,,train,train,airplane|apple|backpack|banana|bear|bicycle|bird|boat|bottle|broccoli|bus|cake|car|carrot|cat|cell phone|clock|cow|cup|dog|donut|elephant|giraffe|horse|hot dog|laptop|motorcycle|orange|pizza|sandwich|sheep|suitcase|teddy bear|train|truck|umbrella|vase|zebra,train,0.9982101917266846,True,True,False,0.9982101917266846,1,orange,False,0.000691945489961654,2,expanded_blur_1.25,train,True,0.9990758895874023,1,0.00031499151373282075,0.9975182462367229,0.9987608980736695,True,False,False,False,True,True,True,True,False,0.0,3,1,1,0.18684231505102042,0.00860969387755102,True,False,False,True
26,,umbrella,umbrella,airplane|apple|backpack|banana|bear|bicycle|bird|boat|bottle|broccoli|bus|cake|car|carrot|cat|cell phone|clock|cow|cup|dog|donut|elephant|giraffe|horse|hot dog|laptop|motorcycle|orange|pizza|sandwich|sheep|suitcase|teddy bear|train|truck|umbrella|vase|zebra,umbrella,0.8834472298622131,True,True,False,0.8834472298622131,1,bus,False,0.07702106237411499,2,expanded_blur_1.25,umbrella,True,0.8919228315353394,1,0.06473031640052795,0.8064261674880981,0.8271925151348114,True,False,False,True,True,True,True,True,False,0.0,3,1,0,0.08071588010204081,0.027622767857142856,True,False,False,False
27,,banana,banana,airplane|apple|backpack|banana|bear|bicycle|bird|boat|bottle|broccoli|bus|cake|car|carrot|cat|cell phone|clock|cow|cup|dog|donut|elephant|giraffe|horse|hot dog|laptop|motorcycle|orange|pizza|sandwich|sheep|suitcase|teddy bear|train|truck|umbrella|vase|zebra,banana,0.9999727010726929,True,True,False,0.9999727010726929,1,giraffe,False,7.253510375448968e-06,2,gray_fill,banana,True,0.9999791383743286,1,5.574642727879109e-06,0.9999654475623174,0.9999735637316007,True,False,False,False,True,True,True,True,False,0.0,7,3,2,0.17721619897959184,0.016043526785714284,True,False,False,False
28,,motorcycle,motorcycle,airplane|apple|backpack|banana|bear|bicycle|bird|boat|bottle|broccoli|bus|cake|car|carrot|cat|cell phone|clock|cow|cup|dog|donut|elephant|giraffe|horse|hot dog|laptop|motorcycle|orange|pizza|sandwich|sheep|suitcase|teddy bear|train|truck|umbrella|vase|zebra,motorcycle,0.9942957758903503,True,True,False,0.9942957758903503,1,bicycle,False,0.004402304533869028,2,gaussian_blur,motorcycle,True,0.9949709177017212,1,0.004068600479513407,0.9898934713564813,0.9909023172222078,True,False,False,False,True,True,True,True,False,0.0,2,1,1,0.27463329081632654,0.00741390306122449,True,False,False,True
29,,pizza,pizza,airplane|apple|backpack|banana|bear|bicycle|bird|boat|bottle|broccoli|bus|cake|car|carrot|cat|cell phone|clock|cow|cup|dog|donut|elephant|giraffe|horse|hot dog|laptop|motorcycle|orange|pizza|sandwich|sheep|suitcase|teddy bear|train|truck|umbrella|vase|zebra,sandwich,0.9370135068893433,False,False,True,0.040362048894166946,2,sandwich,False,0.9370135068893433,1,gray_fill,sandwich,False,0.2046683430671692,2,0.7714958786964417,-0.8966514579951763,-0.5668275356292725,True,True,False,True,False,True,True,True,True,0.0,2,1,1,0.27431441326530615,0.011479591836734694,True,True,True,True
30,,bird,bird,airplane|apple|backpack|banana|bear|bicycle|bird|boat|bottle|broccoli|bus|cake|car|carrot|cat|cell phone|clock|cow|cup|dog|donut|elephant|giraffe|horse|hot dog|laptop|motorcycle|orange|pizza|sandwich|sheep|suitcase|teddy bear|train|truck|umbrella|vase|zebra,bird,0.9999784231185913,True,True,False,0.9999784231185913,1,bottle,False,8.569004421588033e-06,2,gaussian_blur,bird,True,0.9999716281890869,1,1.1219090993108694e-05,0.9999698541141697,0.9999604090980938,False,False,False,False,True,True,True,True,False,0.0,3,1,1,0.20344387755102042,0.006417410714285714,True,False,False,True
31,,sandwich,sandwich,airplane|apple|backpack|banana|bear|bicycle|bird|boat|bottle|broccoli|bus|cake|car|carrot|cat|cell phone|clock|cow|cup|dog|donut|elephant|giraffe|horse|hot dog|laptop|motorcycle|orange|pizza|sandwich|sheep|suitcase|teddy bear|train|truck|umbrella|vase|zebra,sandwich,0.9998316764831543,True,True,False,0.9998316764831543,1,hot dog,False,0.00013211730401962996,2,expanded_gray_fill_1.25,sandwich,True,0.9998658895492554,1,9.920696174958721e-05,0.9996995591791347,0.9997666825875058,True,False,False,False,True,True,True,True,False,0.0,1,2,2,0.15623007015306123,0.0029894770408163264,True,False,False,False
32,,bus,bus,airplane|apple|backpack|banana|bear|bicycle|bird|boat|bottle|broccoli|bus|cake|car|carrot|cat|cell phone|clock|cow|cup|dog|donut|elephant|giraffe|horse|hot dog|laptop|motorcycle|orange|pizza|sandwich|sheep|suitcase|teddy bear|train|truck|umbrella|vase|zebra,bus,0.9997770190238953,True,True,False,0.9997770190238953,1,truck,False,0.0001595838984940201,2,gaussian_blur,bus,True,0.9997416138648987,1,0.00019181412062607706,0.9996174351254012,0.9995497997442726,False,False,False,False,True,True,True,True,False,0.0,1,1,1,0.39610570790816324,0.003985969387755102,True,False,False,True
33,,bus,bus,airplane|apple|backpack|banana|bear|bicycle|bird|boat|bottle|broccoli|bus|cake|car|carrot|cat|cell phone|clock|cow|cup|dog|donut|elephant|giraffe|horse|hot dog|laptop|motorcycle|orange|pizza|sandwich|sheep|suitcase|teddy bear|train|truck|umbrella|vase|zebra,bus,0.9995766282081604,True,True,False,0.9995766282081604,1,train,False,0.0002874606288969517,2,expanded_gray_fill_1.25,bus,True,0.9996346235275269,1,0.00025145383551716805,0.9992891675792634,0.9993831696920097,True,False,False,False,True,True,True,True,False,0.0,1,1,1,0.16645408163265307,0.005381058673469388,True,False,False,True
34,,truck,truck,airplane|apple|backpack|banana|bear|bicycle|bird|boat|bottle|broccoli|bus|cake|car|carrot|cat|cell phone|clock|cow|cup|dog|donut|elephant|giraffe|horse|hot dog|laptop|motorcycle|orange|pizza|sandwich|sheep|suitcase|teddy bear|train|truck|umbrella|vase|zebra,truck,0.9988787770271301,True,True,False,0.9988787770271301,1,bus,False,0.0008293233113363385,2,expanded_gray_fill_1.25,truck,True,0.9953411817550659,1,0.001944814808666706,0.9980494537157938,0.9933963669463992,False,False,False,False,True,True,True,True,False,0.005251312828207052,2,2,0,0.07300302933673469,0.007114955357142857,True,False,False,False
35,,horse,horse,airplane|apple|backpack|banana|bear|bicycle|bird|boat|bottle|broccoli|bus|cake|car|carrot|cat|cell phone|clock|cow|cup|dog|donut|elephant|giraffe|horse|hot dog|laptop|motorcycle|orange|pizza|sandwich|sheep|suitcase|teddy bear|train|truck|umbrella|vase|zebra,horse,0.9642305374145508,True,True,False,0.9642305374145508,1,cow,False,0.02647269144654274,2,gray_fill,horse,True,0.9633603096008301,1,0.02687324956059456,0.937757845968008,0.9364870600402355,False,False,False,False,True,True,True,True,False,0.0,2,2,0,0.09769610969387756,0.010602678571428572,True,False,False,False
36,,orange,orange,airplane|apple|backpack|banana|bear|bicycle|bird|boat|bottle|broccoli|bus|cake|car|carrot|cat|cell phone|clock|cow|cup|dog|donut|elephant|giraffe|horse|hot dog|laptop|motorcycle|orange|pizza|sandwich|sheep|suitcase|teddy bear|train|truck|umbrella|vase|zebra,orange,0.9963456988334656,True,True,False,0.9963456988334656,1,carrot,False,0.0018307931022718549,2,gaussian_blur,orange,True,0.9968881011009216,1,0.0012268031714484096,0.9945149057311937,0.9956612979294732,True,False,False,False,True,True,True,True,False,0.0,1,1,1,0.27463329081632654,0.0038863201530612247,True,False,False,True
37,,vase,vase,airplane|apple|backpack|banana|bear|bicycle|bird|boat|bottle|broccoli|bus|cake|car|carrot|cat|cell phone|clock|cow|cup|dog|donut|elephant|giraffe|horse|hot dog|laptop|motorcycle|orange|pizza|sandwich|sheep|suitcase|teddy bear|train|truck|umbrella|vase|zebra,hot dog,0.9943733215332031,False,False,True,7.474545782315545e-06,9,hot dog,False,0.9943733215332031,1,gray_fill,hot dog,False,2.4215531084337272e-05,9,0.9896624088287354,-0.9943658469874208,-0.989638193297651,True,False,False,False,False,False,False,False,False,0.0,2,1,1,0.10044642857142858,0.003985969387755102,True,False,False,True
38,,bus,bus,airplane|apple|backpack|banana|bear|bicycle|bird|boat|bottle|broccoli|bus|cake|car|carrot|cat|cell phone|clock|cow|cup|dog|donut|elephant|giraffe|horse|hot dog|laptop|motorcycle|orange|pizza|sandwich|sheep|suitcase|teddy bear|train|truck|umbrella|vase|zebra,bus,0.8315279483795166,True,True,False,0.8315279483795166,1,car,False,0.10653793066740036,2,gray_fill,bus,True,0.8773866891860962,1,0.08538668602705002,0.7249900177121162,0.7920000031590462,True,True,False,True,True,True,True,True,False,0.0,2,2,2,0.45081313775510207,0.009167729591836735,True,False,False,False
39,,truck,truck,airplane|apple|backpack|banana|bear|bicycle|bird|boat|bottle|broccoli|bus|cake|car|carrot|cat|cell phone|clock|cow|cup|dog|donut|elephant|giraffe|horse|hot dog|laptop|motorcycle|orange|pizza|sandwich|sheep|suitcase|teddy bear|train|truck|umbrella|vase|zebra,truck,0.9725176095962524,True,True,False,0.9725176095962524,1,bus,False,0.024838155135512352,2,gray_fill,truck,True,0.9769441485404968,1,0.01885310374200344,0.9476794544607401,0.9580910447984934,True,False,False,False,True,True,True,True,False,0.0,1,2,1,0.7438616071428571,0.006218112244897959,True,False,False,True
40,,broccoli,broccoli,airplane|apple|backpack|banana|bear|bicycle|bird|boat|bottle|broccoli|bus|cake|car|carrot|cat|cell phone|clock|cow|cup|dog|donut|elephant|giraffe|horse|hot dog|laptop|motorcycle|orange|pizza|sandwich|sheep|suitcase|teddy bear|train|truck|umbrella|vase|zebra,cup,0.4914773404598236,False,False,False,0.009183843620121479,8,cup,False,0.4914773404598236,1,gray_fill,cup,False,0.010760905221104622,9,0.47188249230384827,-0.48229349683970213,-0.46112158708274364,True,False,False,True,False,False,False,False,False,0.2399867593512082,2,3,1,0.10363520408163265,0.014449139030612245,True,False,False,True
41,,banana,banana,airplane|apple|backpack|banana|bear|bicycle|bird|boat|bottle|broccoli|bus|cake|car|carrot|cat|cell phone|clock|cow|cup|dog|donut|elephant|giraffe|horse|hot dog|laptop|motorcycle|orange|pizza|sandwich|sheep|suitcase|teddy bear|train|truck|umbrella|vase|zebra,banana,0.9999755620956421,True,True,False,0.9999755620956421,1,hot dog,False,1.0761570592876524e-05,2,expanded_gray_fill_1.25,banana,True,0.9999812841415405,1,5.95099845668301e-06,0.9999648005250492,0.9999753331430838,True,False,False,False,True,True,True,True,False,0.0,2,5,1,0.1018813775510204,0.014668367346938776,True,False,False,False
