example_id,human_label,variant,selected_proposal_type,selected_family,selected_bbox,selected_area_fraction,overlaps_text_box,overlaps_object_box
21,pizza,incl_ocr,random_patch_control,random_patch,"[28, 137, 126, 172]",0.068359375,False,True
22,pizza,excl_ocr,text_box_component,high_contrast,"[135, 169, 178, 182]",0.01114078443877551,False,False
22,pizza,incl_ocr,text_box_component,high_contrast,"[135, 169, 178, 182]",0.01114078443877551,False,False
23,bus,excl_ocr,horizontal_text_band,edge_dense,"[9, 111, 215, 142]",0.12727200255102042,False,True
23,bus,incl_ocr,horizontal_text_band,edge_dense,"[9, 111, 215, 142]",0.12727200255102042,False,True
24,train,excl_ocr,horizontal_text_band,edge_dense,"[9, 99, 215, 130]",0.12727200255102042,False,True
24,train,incl_ocr,horizontal_text_band,edge_dense,"[9, 99, 215, 130]",0.12727200255102042,False,True
25,train,excl_ocr,horizontal_text_band,edge_dense,"[9, 94, 215, 125]",0.12727200255102042,False,True
25,train,incl_ocr,horizontal_text_band,edge_dense,"[9, 94, 215, 125]",0.12727200255102042,False,True
26,umbrella,excl_ocr,horizontal_text_band,edge_dense,"[9, 38, 215, 69]",0.12727200255102042,False,True
26,umbrella,incl_ocr,horizontal_text_band,edge_dense,"[9, 38, 215, 69]",0.12727200255102042,False,True
27,banana,excl_ocr,horizontal_text_band,edge_dense,"[25, 154, 199, 176]",0.07629145408163265,False,False
27,banana,incl_ocr,horizontal_text_band,edge_dense,"[25, 154, 199, 176]",0.07629145408163265,False,False
28,motorcycle,excl_ocr,horizontal_text_band,edge_dense,"[50, 215, 173, 224]",0.02206234056122449,True,False
28,motorcycle,incl_ocr,horizontal_text_band,edge_dense,"[50, 215, 173, 224]",0.02206234056122449,True,False
29,pizza,excl_ocr,text_box_component,high_contrast,"[122, 211, 186, 224]",0.016581632653061226,True,False
29,pizza,incl_ocr,text_box_component,high_contrast,"[122, 211, 186, 224]",0.016581632653061226,True,False
30,bird,excl_ocr,grid_patch_18,grid_patch,"[100, 160, 140, 200]",0.03188775510204082,False,False
30,bird,incl_ocr,grid_patch_18,grid_patch,"[100, 160, 140, 200]",0.03188775510204082,False,False
31,sandwich,excl_ocr,horizontal_text_band,edge_dense,"[9, 96, 215, 127]",0.12727200255102042,False,True
31,sandwich,incl_ocr,horizontal_text_band,edge_dense,"[9, 96, 215, 127]",0.12727200255102042,False,True
32,bus,excl_ocr,horizontal_text_band,edge_dense,"[9, 103, 215, 134]",0.12727200255102042,False,True
32,bus,incl_ocr,horizontal_text_band,edge_dense,"[9, 103, 215, 134]",0.12727200255102042,False,True
33,bus,excl_ocr,horizontal_text_band,edge_dense,"[9, 169, 215, 200]",0.12727200255102042,False,True
33,bus,incl_ocr,horizontal_text_band,edge_dense,"[9, 169, 215, 200]",0.12727200255102042,False,True
34,truck,excl_ocr,horizontal_text_band,edge_dense,"[9, 104, 215, 135]",0.12727200255102042,False,True
34,truck,incl_ocr,horizontal_text_band,edge_dense,"[9, 104, 215, 135]",0.12727200255102042,False,True
35,horse,excl_ocr,random_patch_control,random_patch,"[2, 160, 100, 195]",0.068359375,False,True
35,horse,incl_ocr,random_patch_control,random_patch,"[2, 160, 100, 195]",0.068359375,False,True
36,orange,excl_ocr,horizontal_text_band,edge_dense,"[9, 66, 215, 97]",0.12727200255102042,False,False
36,orange,incl_ocr,horizontal_text_band,edge_dense,"[9, 66, 215, 97]",0.12727200255102042,False,False
37,vase,excl_ocr,grid_patch_18,grid_patch,"[0, 100, 40, 140]",0.03188775510204082,False,False
37,vase,incl_ocr,grid_patch_18,grid_patch,"[0, 100, 40, 140]",0.03188775510204082,False,False
38,bus,excl_ocr,horizontal_text_band,edge_dense,"[9, 63, 215, 94]",0.12727200255102042,False,True
38,bus,incl_ocr,horizontal_text_band,edge_dense,"[9, 63, 215, 94]",0.12727200255102042,False,True
39,truck,excl_ocr,corner_edge_watermark,edge_dense,"[60, 0, 163, 35]",0.07184709821428571,False,False
39,truck,incl_ocr,corner_edge_watermark,edge_dense,"[60, 0, 163, 35]",0.07184709821428571,False,False
40,broccoli,excl_ocr,corner_edge_watermark,edge_dense,"[0, 0, 76, 29]",0.04392538265306122,True,True
40,broccoli,incl_ocr,corner_edge_watermark,edge_dense,"[0, 0, 76, 29]",0.04392538265306122,True,True
41,banana,excl_ocr,horizontal_text_band,edge_dense,"[25, 1, 199, 23]",0.07629145408163265,True,False
41,banana,incl_ocr,horizontal_text_band,edge_dense,"[25, 1, 199, 23]",0.07629145408163265,True,False
42,truck,excl_ocr,text_box_component,high_contrast,"[20, 74, 57, 93]",0.014010682397959183,False,False
42,truck,incl_ocr,text_box_component,high_contrast,"[20, 74, 57, 93]",0.014010682397959183,False,False
43,cake,excl_ocr,horizontal_text_band,edge_dense,"[9, 163, 215, 194]",0.12727200255102042,False,True
43,cake,incl_ocr,horizontal_text_band,edge_dense,"[9, 163, 215, 194]",0.12727200255102042,False,True
44,bus,excl_ocr,random_patch_control,random_patch,"[156, 70, 212, 126]",0.0625,False,False
44,bus,incl_ocr,random_patch_control,random_patch,"[156, 70, 212, 126]",0.0625,False,False
45,truck,excl_ocr,horizontal_text_band,edge_dense,"[25, 104, 199, 126]",0.07629145408163265,False,True
45,truck,incl_ocr,horizontal_text_band,edge_dense,"[25, 104, 199, 126]",0.07629145408163265,False,True
46,car,excl_ocr,text_box_component,high_contrast,"[99, 17, 127, 27]",0.005580357142857143,True,False
46,car,incl_ocr,text_box_component,high_contrast,"[99, 17, 127, 27]",0.005580357142857143,True,False
47,truck,excl_ocr,grid_patch_18,grid_patch,"[0, 100, 40, 140]",0.03188775510204082,False,False
47,truck,incl_ocr,ocr_text_box,ocr_text_box,"[171, 210, 221, 220]",0.009964923469387755,True,False
48,airplane,excl_ocr,horizontal_text_band,edge_dense,"[9, 165, 215, 196]",0.12727200255102042,False,True
48,airplane,incl_ocr,horizontal_text_band,edge_dense,"[9, 165, 215, 196]",0.12727200255102042,False,True
49,boat,excl_ocr,random_patch_control,random_patch,"[19, 103, 59, 129]",0.02072704081632653,False,False
49,boat,incl_ocr,random_patch_control,random_patch,"[19, 103, 59, 129]",0.02072704081632653,False,False
50,motorcycle,excl_ocr,horizontal_text_band,edge_dense,"[50, 201, 173, 218]",0.041673309948979595,False,False
50,motorcycle,incl_ocr,horizontal_text_band,edge_dense,"[50, 201, 173, 218]",0.041673309948979595,False,False
51,bus,excl_ocr,horizontal_text_band,edge_dense,"[25, 156, 199, 178]",0.07629145408163265,False,True
51,bus,incl_ocr,horizontal_text_band,edge_dense,"[25, 156, 199, 178]",0.07629145408163265,False,True
52,teddy bear,excl_ocr,random_patch_control,random_patch,"[10, 36, 108, 71]",0.068359375,False,False
52,teddy bear,incl_ocr,ocr_text_box,ocr_text_box,"[177, 128, 214, 151]",0.01696029974489796,True,False
53,bird,excl_ocr,grid_patch_18,grid_patch,"[20, 60, 60, 100]",0.03188775510204082,False,False
53,bird,incl_ocr,grid_patch_18,grid_patch,"[20, 60, 60, 100]",0.03188775510204082,False,False
54,cup,excl_ocr,text_box_component,high_contrast,"[0, 189, 18, 204]",0.005381058673469388,False,False
54,cup,incl_ocr,text_box_component,high_contrast,"[0, 189, 18, 204]",0.005381058673469388,False,False
55,sandwich,excl_ocr,horizontal_text_band,edge_dense,"[25, 8, 199, 30]",0.07629145408163265,False,False
55,sandwich,incl_ocr,horizontal_text_band,edge_dense,"[25, 8, 199, 30]",0.07629145408163265,False,False
56,cow,excl_ocr,horizontal_text_band,edge_dense,"[25, 190, 199, 212]",0.07629145408163265,False,True
56,cow,incl_ocr,horizontal_text_band,edge_dense,"[25, 190, 199, 212]",0.07629145408163265,False,True
57,banana,excl_ocr,grid_patch_18,grid_patch,"[184, 80, 224, 120]",0.03188775510204082,False,False
57,banana,incl_ocr,grid_patch_18,grid_patch,"[184, 80, 224, 120]",0.03188775510204082,False,False
58,elephant,excl_ocr,horizontal_text_band,edge_dense,"[9, 76, 215, 107]",0.12727200255102042,False,True
58,elephant,incl_ocr,horizontal_text_band,edge_dense,"[9, 76, 215, 107]",0.12727200255102042,False,True
59,car,excl_ocr,horizontal_text_band,edge_dense,"[50, 174, 173, 191]",0.041673309948979595,False,True
59,car,incl_ocr,horizontal_text_band,edge_dense,"[50, 174, 173, 191]",0.041673309948979595,False,True
60,vase,excl_ocr,horizontal_text_band,edge_dense,"[9, 64, 215, 95]",0.12727200255102042,False,False
60,vase,incl_ocr,horizontal_text_band,edge_dense,"[9, 64, 215, 95]",0.12727200255102042,False,False
61,car,excl_ocr,horizontal_text_band,edge_dense,"[9, 102, 215, 133]",0.12727200255102042,False,True
61,car,incl_ocr,horizontal_text_band,edge_dense,"[9, 102, 215, 133]",0.12727200255102042,False,True
62,umbrella,excl_ocr,horizontal_text_band,edge_dense,"[50, 3, 173, 20]",0.041673309948979595,False,False
62,umbrella,incl_ocr,horizontal_text_band,edge_dense,"[50, 3, 173, 20]",0.041673309948979595,False,False
63,airplane,excl_ocr,horizontal_text_band,edge_dense,"[9, 120, 215, 151]",0.12727200255102042,False,True
63,airplane,incl_ocr,horizontal_text_band,edge_dense,"[9, 120, 215, 151]",0.12727200255102042,False,True
64,car,excl_ocr,grid_patch_18,grid_patch,"[184, 60, 224, 100]",0.03188775510204082,False,False
64,car,incl_ocr,grid_patch_18,grid_patch,"[184, 60, 224, 100]",0.03188775510204082,False,False
65,zebra,excl_ocr,grid_patch_18,grid_patch,"[20, 80, 60, 120]",0.03188775510204082,False,False
65,zebra,incl_ocr,grid_patch_18,grid_patch,"[20, 80, 60, 120]",0.03188775510204082,False,False
66,sandwich,excl_ocr,textness_high_frequency,connected_component,"[51, 209, 77, 224]",0.007772640306122449,True,False
66,sandwich,incl_ocr,textness_high_frequency,connected_component,"[51, 209, 77, 224]",0.007772640306122449,True,False
67,cell phone,excl_ocr,horizontal_text_band,edge_dense,"[9, 41, 215, 72]",0.12727200255102042,False,True
67,cell phone,incl_ocr,horizontal_text_band,edge_dense,"[9, 41, 215, 72]",0.12727200255102042,False,True
68,truck,excl_ocr,horizontal_text_band,edge_dense,"[9, 116, 215, 147]",0.12727200255102042,False,True
68,truck,incl_ocr,horizontal_text_band,edge_dense,"[9, 116, 215, 147]",0.12727200255102042,False,True
69,truck,excl_ocr,grid_patch_18,grid_patch,"[40, 180, 80, 220]",0.03188775510204082,False,False
69,truck,incl_ocr,grid_patch_18,grid_patch,"[40, 180, 80, 220]",0.03188775510204082,False,False
70,bus,excl_ocr,horizontal_text_band,edge_dense,"[9, 103, 215, 134]",0.12727200255102042,False,True
70,bus,incl_ocr,horizontal_text_band,edge_dense,"[9, 103, 215, 134]",0.12727200255102042,False,True
71,elephant,excl_ocr,grid_patch_18,grid_patch,"[0, 60, 40, 100]",0.03188775510204082,False,True
71,elephant,incl_ocr,grid_patch_18,grid_patch,"[0, 60, 40, 100]",0.03188775510204082,False,True
72,hot dog,excl_ocr,text_box_component,high_contrast,"[60, 163, 88, 178]",0.008370535714285714,False,False
72,hot dog,incl_ocr,text_box_component,high_contrast,"[60, 163, 88, 178]",0.008370535714285714,False,False
73,umbrella,excl_ocr,horizontal_text_band,edge_dense,"[25, 146, 199, 168]",0.07629145408163265,False,False
73,umbrella,incl_ocr,horizontal_text_band,edge_dense,"[25, 146, 199, 168]",0.07629145408163265,False,False
74,motorcycle,excl_ocr,horizontal_text_band,edge_dense,"[25, 30, 199, 52]",0.07629145408163265,False,True
74,motorcycle,incl_ocr,horizontal_text_band,edge_dense,"[25, 30, 199, 52]",0.07629145408163265,False,True
75,teddy bear,excl_ocr,random_patch_control,random_patch,"[65, 154, 121, 194]",0.044642857142857144,False,False
75,teddy bear,incl_ocr,random_patch_control,random_patch,"[65, 154, 121, 194]",0.044642857142857144,False,False
76,orange,excl_ocr,corner_edge_watermark,edge_dense,"[0, 189, 103, 224]",0.07184709821428571,False,False
76,orange,incl_ocr,corner_edge_watermark,edge_dense,"[0, 189, 103, 224]",0.07184709821428571,False,False
77,car,excl_ocr,random_patch_control,random_patch,"[24, 26, 122, 61]",0.068359375,False,False
77,car,incl_ocr,random_patch_control,random_patch,"[24, 26, 122, 61]",0.068359375,False,False
78,orange,excl_ocr,horizontal_text_band,edge_dense,"[9, 200, 215, 224]",0.09853316326530612,False,True
78,orange,incl_ocr,horizontal_text_band,edge_dense,"[9, 200, 215, 224]",0.09853316326530612,False,True
79,airplane,excl_ocr,grid_patch_18,grid_patch,"[40, 180, 80, 220]",0.03188775510204082,False,False
79,airplane,incl_ocr,grid_patch_18,grid_patch,"[40, 180, 80, 220]",0.03188775510204082,False,False
80,train,excl_ocr,horizontal_text_band,edge_dense,"[25, 188, 199, 210]",0.07629145408163265,False,True
80,train,incl_ocr,horizontal_text_band,edge_dense,"[25, 188, 199, 210]",0.07629145408163265,False,True
81,airplane,excl_ocr,grid_patch_18,grid_patch,"[40, 100, 80, 140]",0.03188775510204082,False,True
81,airplane,incl_ocr,grid_patch_18,grid_patch,"[40, 100, 80, 140]",0.03188775510204082,False,True
82,umbrella,excl_ocr,horizontal_text_band,edge_dense,"[9, 167, 215, 198]",0.12727200255102042,False,True
82,umbrella,incl_ocr,horizontal_text_band,edge_dense,"[9, 167, 215, 198]",0.12727200255102042,False,True
83,car,excl_ocr,grid_patch_18,grid_patch,"[140, 160, 180, 200]",0.03188775510204082,False,True
83,car,incl_ocr,grid_patch_18,grid_patch,"[140, 160, 180, 200]",0.03188775510204082,False,True
84,pizza,excl_ocr,horizontal_text_band,edge_dense,"[25, 19, 199, 41]",0.07629145408163265,False,True
84,pizza,incl_ocr,horizontal_text_band,edge_dense,"[25, 19, 199, 41]",0.07629145408163265,False,True
85,pizza,excl_ocr,corner_edge_watermark,edge_dense,"[0, 189, 103, 224]",0.07184709821428571,False,True
85,pizza,incl_ocr,corner_edge_watermark,edge_dense,"[0, 189, 103, 224]",0.07184709821428571,False,True
86,cake,excl_ocr,horizontal_text_band,edge_dense,"[9, 95, 215, 126]",0.12727200255102042,False,True
86,cake,incl_ocr,horizontal_text_band,edge_dense,"[9, 95, 215, 126]",0.12727200255102042,False,True
87,airplane,excl_ocr,textness_high_frequency,connected_component,"[63, 163, 119, 197]",0.03794642857142857,False,False
87,airplane,incl_ocr,textness_high_frequency,connected_component,"[63, 163, 119, 197]",0.03794642857142857,False,False
88,car,excl_ocr,horizontal_text_band,edge_dense,"[50, 11, 173, 28]",0.041673309948979595,True,True
88,car,incl_ocr,horizontal_text_band,edge_dense,"[50, 11, 173, 28]",0.041673309948979595,True,True
89,pizza,excl_ocr,horizontal_text_band,edge_dense,"[9, 106, 215, 137]",0.12727200255102042,False,True
89,pizza,incl_ocr,horizontal_text_band,edge_dense,"[9, 106, 215, 137]",0.12727200255102042,False,True
90,truck,excl_ocr,horizontal_text_band,edge_dense,"[9, 115, 215, 146]",0.12727200255102042,False,True
90,truck,incl_ocr,horizontal_text_band,edge_dense,"[9, 115, 215, 146]",0.12727200255102042,False,True
91,carrot,excl_ocr,corner_edge_watermark,edge_dense,"[0, 0, 103, 35]",0.07184709821428571,False,False
91,carrot,incl_ocr,corner_edge_watermark,edge_dense,"[0, 0, 103, 35]",0.07184709821428571,False,False
92,umbrella,excl_ocr,random_patch_control,random_patch,"[31, 168, 129, 203]",0.068359375,False,False
92,umbrella,incl_ocr,random_patch_control,random_patch,"[31, 168, 129, 203]",0.068359375,False,False
93,car,excl_ocr,horizontal_text_band,edge_dense,"[9, 119, 215, 150]",0.12727200255102042,False,True
93,car,incl_ocr,ocr_text_box,ocr_text_box,"[113, 0, 140, 13]",0.006995376275510204,True,False
94,clock,excl_ocr,horizontal_text_band,edge_dense,"[50, 161, 173, 178]",0.041673309948979595,False,True
94,clock,incl_ocr,horizontal_text_band,edge_dense,"[50, 161, 173, 178]",0.041673309948979595,False,True
95,umbrella,excl_ocr,grid_patch_18,grid_patch,"[80, 184, 120, 224]",0.03188775510204082,False,False
95,umbrella,incl_ocr,grid_patch_18,grid_patch,"[80, 184, 120, 224]",0.03188775510204082,False,False
96,train,excl_ocr,grid_patch_18,grid_patch,"[0, 80, 40, 120]",0.03188775510204082,False,False
96,train,incl_ocr,grid_patch_18,grid_patch,"[0, 80, 40, 120]",0.03188775510204082,False,False
97,pizza,excl_ocr,horizontal_text_band,edge_dense,"[9, 200, 215, 224]",0.09853316326530612,False,False
97,pizza,incl_ocr,horizontal_text_band,edge_dense,"[9, 200, 215, 224]",0.09853316326530612,False,False
98,truck,excl_ocr,horizontal_text_band,edge_dense,"[25, 127, 199, 149]",0.07629145408163265,False,True
98,truck,incl_ocr,horizontal_text_band,edge_dense,"[25, 127, 199, 149]",0.07629145408163265,False,True
99,pizza,excl_ocr,grid_patch_18,grid_patch,"[60, 180, 100, 220]",0.03188775510204082,False,False
99,pizza,incl_ocr,grid_patch_18,grid_patch,"[60, 180, 100, 220]",0.03188775510204082,False,False
100,airplane,excl_ocr,grid_patch_18,grid_patch,"[184, 120, 224, 160]",0.03188775510204082,False,False
100,airplane,incl_ocr,grid_patch_18,grid_patch,"[184, 120, 224, 160]",0.03188775510204082,False,False
101,train,excl_ocr,horizontal_text_band,edge_dense,"[9, 115, 215, 146]",0.12727200255102042,False,True
101,train,incl_ocr,horizontal_text_band,edge_dense,"[9, 115, 215, 146]",0.12727200255102042,False,True
102,bus,excl_ocr,horizontal_text_band,edge_dense,"[9, 86, 215, 117]",0.12727200255102042,False,False
102,bus,incl_ocr,horizontal_text_band,edge_dense,"[9, 86, 215, 117]",0.12727200255102042,False,False
103,train,excl_ocr,grid_patch_18,grid_patch,"[80, 160, 120, 200]",0.03188775510204082,False,True
103,train,incl_ocr,grid_patch_18,grid_patch,"[80, 160, 120, 200]",0.03188775510204082,False,True
104,bus,excl_ocr,horizontal_text_band,edge_dense,"[9, 51, 215, 82]",0.12727200255102042,False,False
104,bus,incl_ocr,horizontal_text_band,edge_dense,"[9, 51, 215, 82]",0.12727200255102042,False,False
105,bus,excl_ocr,grid_patch_18,grid_patch,"[20, 20, 60, 60]",0.03188775510204082,True,False
105,bus,incl_ocr,grid_patch_18,grid_patch,"[20, 20, 60, 60]",0.03188775510204082,True,False
106,motorcycle,excl_ocr,grid_patch_18,grid_patch,"[140, 20, 180, 60]",0.03188775510204082,False,False
106,motorcycle,incl_ocr,grid_patch_18,grid_patch,"[140, 20, 180, 60]",0.03188775510204082,False,False
107,truck,excl_ocr,grid_patch_18,grid_patch,"[0, 40, 40, 80]",0.03188775510204082,False,False
107,truck,incl_ocr,grid_patch_18,grid_patch,"[0, 40, 40, 80]",0.03188775510204082,False,False
108,pizza,excl_ocr,random_patch_control,random_patch,"[72, 156, 170, 191]",0.068359375,False,True
108,pizza,incl_ocr,random_patch_control,random_patch,"[72, 156, 170, 191]",0.068359375,False,True
109,cell phone,excl_ocr,horizontal_text_band,edge_dense,"[9, 66, 215, 97]",0.12727200255102042,False,True
109,cell phone,incl_ocr,horizontal_text_band,edge_dense,"[9, 66, 215, 97]",0.12727200255102042,False,True
110,truck,excl_ocr,horizontal_text_band,edge_dense,"[25, 101, 199, 123]",0.07629145408163265,False,True
110,truck,incl_ocr,horizontal_text_band,edge_dense,"[25, 101, 199, 123]",0.07629145408163265,False,True
111,teddy bear,excl_ocr,horizontal_text_band,edge_dense,"[9, 145, 215, 176]",0.12727200255102042,False,True
111,teddy bear,incl_ocr,horizontal_text_band,edge_dense,"[9, 145, 215, 176]",0.12727200255102042,False,True
112,truck,excl_ocr,grid_patch_18,grid_patch,"[140, 0, 180, 40]",0.03188775510204082,False,False
112,truck,incl_ocr,grid_patch_18,grid_patch,"[140, 0, 180, 40]",0.03188775510204082,False,False
113,cake,excl_ocr,corner_edge_watermark,edge_dense,"[121, 189, 224, 224]",0.07184709821428571,False,True
113,cake,incl_ocr,corner_edge_watermark,edge_dense,"[121, 189, 224, 224]",0.07184709821428571,False,True
114,broccoli,excl_ocr,horizontal_text_band,edge_dense,"[9, 120, 215, 151]",0.12727200255102042,False,True
114,broccoli,incl_ocr,horizontal_text_band,edge_dense,"[9, 120, 215, 151]",0.12727200255102042,False,True
115,bus,excl_ocr,corner_edge_watermark,edge_dense,"[121, 0, 224, 35]",0.07184709821428571,False,False
115,bus,incl_ocr,corner_edge_watermark,edge_dense,"[121, 0, 224, 35]",0.07184709821428571,False,False
116,bus,excl_ocr,grid_patch_18,grid_patch,"[80, 184, 120, 224]",0.03188775510204082,False,True
116,bus,incl_ocr,grid_patch_18,grid_patch,"[80, 184, 120, 224]",0.03188775510204082,False,True
117,giraffe,excl_ocr,random_patch_control,random_patch,"[151, 8, 207, 34]",0.029017857142857144,False,False
117,giraffe,incl_ocr,random_patch_control,random_patch,"[151, 8, 207, 34]",0.029017857142857144,False,False
118,pizza,excl_ocr,grid_patch_18,grid_patch,"[100, 184, 140, 224]",0.03188775510204082,False,True
118,pizza,incl_ocr,grid_patch_18,grid_patch,"[100, 184, 140, 224]",0.03188775510204082,False,True
119,bicycle,excl_ocr,random_patch_control,random_patch,"[87, 160, 165, 186]",0.04041772959183673,False,True
119,bicycle,incl_ocr,random_patch_control,random_patch,"[87, 160, 165, 186]",0.04041772959183673,False,True
120,cell phone,excl_ocr,horizontal_text_band,edge_dense,"[9, 51, 215, 82]",0.12727200255102042,False,True
120,cell phone,incl_ocr,horizontal_text_band,edge_dense,"[9, 51, 215, 82]",0.12727200255102042,False,True
121,cell phone,excl_ocr,grid_patch_18,grid_patch,"[80, 160, 120, 200]",0.03188775510204082,False,True
121,cell phone,incl_ocr,grid_patch_18,grid_patch,"[80, 160, 120, 200]",0.03188775510204082,False,True
122,truck,excl_ocr,corner_edge_watermark,edge_dense,"[60, 189, 163, 224]",0.07184709821428571,False,True
122,truck,incl_ocr,corner_edge_watermark,edge_dense,"[60, 189, 163, 224]",0.07184709821428571,False,True
123,boat,excl_ocr,horizontal_text_band,edge_dense,"[9, 59, 215, 90]",0.12727200255102042,False,False
123,boat,incl_ocr,horizontal_text_band,edge_dense,"[9, 59, 215, 90]",0.12727200255102042,False,False
124,cup,excl_ocr,corner_edge_watermark,edge_dense,"[74, 195, 150, 224]",0.04392538265306122,False,True
124,cup,incl_ocr,corner_edge_watermark,edge_dense,"[74, 195, 150, 224]",0.04392538265306122,False,True
125,umbrella,excl_ocr,horizontal_text_band,edge_dense,"[25, 86, 199, 108]",0.07629145408163265,False,True
125,umbrella,incl_ocr,horizontal_text_band,edge_dense,"[25, 86, 199, 108]",0.07629145408163265,False,True
126,dog,excl_ocr,horizontal_text_band,edge_dense,"[9, 60, 215, 91]",0.12727200255102042,False,True
126,dog,incl_ocr,horizontal_text_band,edge_dense,"[9, 60, 215, 91]",0.12727200255102042,False,True
127,bus,excl_ocr,horizontal_text_band,edge_dense,"[25, 150, 199, 172]",0.07629145408163265,False,True
127,bus,incl_ocr,horizontal_text_band,edge_dense,"[25, 150, 199, 172]",0.07629145408163265,False,True
128,bus,excl_ocr,horizontal_text_band,edge_dense,"[9, 91, 215, 122]",0.12727200255102042,False,True
